Issue ID,Project ID,Classification,Screenshot,Urgency,Input Date,Deadline Theor,Deadline Real,Employee ID,Device ,Browser,Page,Contact ID,Request,Iteraciones,Iteraciones 30 dias,Not addressing historico
IPC100101,PC1001,Design issues,0,,2015-09-05,,2015-09-06,E2,Mobile,Mozilla,True,COC1001,The spacing around section titles [645] should use more consistent iconography.,4.0,32,5
IPC1001010,PC1001,Copy issues,0,,2015-02-06,,2015-02-08,E1,Desktop,Safari,True,COC1001,Please rewrite for clarity the CTA button label — SEO team suggested including 'digital strategy'.,3.0,50,2
IPC10010100,PC1001,New item,0,,2014-09-14,,2014-09-16,E3,Desktop,Chrome,True,COC1001,"Please add a FAQs segmented by user type, to meet regulatory compliance.",12.0,15,0
IPC1001011,PC1001,New item,0,,2015-06-14,,2015-06-17,E3,Desktop,Chrome,True,COC1001,"Please add a customizable data visualization blocks, as part of SEO improvement strategy.",16.0,54,5
IPC1001012,PC1001,Copy issues,1,,2015-05-29,,2015-06-01,E1,Desktop,Safari,True,COC1001,Please emphasize benefits over features the Careers page intro — align this with what we say in the sales deck.,3.0,48,3
IPC1001013,PC1001,Copy issues,0,,2015-02-14,,2015-02-16,E1,Desktop,Safari,True,COC1001,Please emphasize benefits over features the Careers page intro — let's test a variation with a stronger call-to-action.,3.0,52,2
IPC1001014,PC1001,Request change,0,,2015-04-29,,2015-04-30,E2,Desktop,Safari,True,COC1001,"We'd like to change the CTA icon placement, as requested by new leadership.",11.0,24,2
IPC1001015,PC1001,Design issues,0,,2014-10-23,,2014-10-25,E2,Desktop,Mozilla,True,COC1001,The headline alignment [358] is not accessible for users with visual impairments.,5.0,35,0
IPC1001016,PC1001,New item,0,,2015-01-22,,2015-01-23,E3,Desktop,Edge,True,COC1001,"Please add a animated explainer about product flow, for improved feature discoverability.",8.0,41,2
IPC1001017,PC1001,Copy issues,0,,2015-01-09,,2015-01-10,E1,Desktop,Mozilla,True,COC1001,Please optimize for SEO the feature highlights under 'Why Choose Us' — the current version feels too generic.,4.0,25,2
IPC1001018,PC1001,Copy issues,0,,2015-01-17,,2015-01-19,E1,Desktop,Mozilla,True,COC1001,Please revise the CTA button label — consider phrasing that implies urgency.,3.0,35,2
IPC1001019,PC1001,Copy issues,0,,2014-11-05,,2014-11-08,E1,Mobile,Chrome,True,COC1001,Please revise the form confirmation message — the current version feels too generic.,3.0,42,1
IPC100102,PC1001,Request change,0,,2014-11-08,,2014-11-09,E2,Desktop,Chrome,True,COC1001,"We'd like to change the structure of the Resources section, to improve visual storytelling.",8.0,54,1
IPC1001020,PC1001,Request change,0,,2014-11-14,,2014-11-15,E2,Desktop,Chrome,True,COC1001,"We'd like to change the icons used in the value proposition list, in preparation for launch event.",4.0,37,1
IPC1001021,PC1001,New item,0,,2015-06-25,,2015-06-26,E3,Desktop,Safari,True,COC1001,"Please add a modular layout editor, to meet regulatory compliance.",3.0,66,5
IPC1001022,PC1001,Design issues,0,,2015-03-02,,2015-03-05,E2,Desktop,Mozilla,True,COC1001,The button hierarchy [153] overemphasizes less important elements.,2.0,16,2
IPC1001023,PC1001,Copy issues,0,,2015-07-18,,2015-07-20,E1,Desktop,Chrome,True,COC1001,Please rewrite for clarity the ‘Contact Us’ headline — the current version feels too generic.,2.0,49,5
IPC1001024,PC1001,Copy issues,0,,2015-05-20,,2015-05-22,E1,Desktop,Safari,True,COC1001,Please refocus the message in the CTA button label — the tone should feel more confident and less promotional.,4.0,53,3
IPC1001025,PC1001,Copy issues,0,,2015-03-22,,2015-03-24,E1,Desktop,Mozilla,True,COC1001,Please revise the Testimonials section intro — it currently duplicates info from another section.,3.0,9,2
IPC1001026,PC1001,Copy issues,0,,2015-05-24,,2015-05-27,E1,Desktop,Safari,True,COC1001,Please make more actionable the form confirmation message — current phrasing doesn't perform well in tests.,2.0,49,3
