,Issue ID,Project ID,Classification,Screenshot,Urgency,Input Date,Deadline Theor,Deadline Real,Employee ID,Device ,Browser,Page,Contact ID,Request,Iteraciones,Iteraciones 30 dias,Not addressing historico,Sentiment
0,IPC100101,PC1001,Design issues,0,Medium,2015-09-05,2015-09-08,2015-09-06,E2,Mobile,Mozilla,True,COC1001,The spacing around section titles [645] should use more consistent iconography.,4.0,32,5,Neutral
1,IPC1001010,PC1001,Copy issues,0,Medium,2015-02-06,2015-09-08,2015-02-08,E1,Desktop,Safari,True,COC1001,Please rewrite for clarity the CTA button label — SEO team suggested including 'digital strategy'.,3.0,50,2,Neutral
2,IPC10010100,PC1001,New item,0,Medium,2014-09-14,2015-09-08,2014-09-16,E3,Desktop,Chrome,True,COC1001,"Please add a FAQs segmented by user type, to meet regulatory compliance.",12.0,15,0,Neutral
3,IPC1001011,PC1001,New item,0,Critical,2015-06-14,2015-09-08,2015-06-17,E3,Desktop,Chrome,True,COC1001,"Please add a customizable data visualization blocks, as part of SEO improvement strategy.",16.0,54,5,Positive
4,IPC1001012,PC1001,Copy issues,1,Medium,2015-05-29,2015-09-08,2015-06-01,E1,Desktop,Safari,True,COC1001,Please emphasize benefits over features the Careers page intro — align this with what we say in the sales deck.,3.0,48,3,Positive
5,IPC1001013,PC1001,Copy issues,0,Medium,2015-02-14,2015-09-08,2015-02-16,E1,Desktop,Safari,True,COC1001,Please emphasize benefits over features the Careers page intro — let's test a variation with a stronger call-to-action.,3.0,52,2,Positive
6,IPC1001014,PC1001,Request change,0,Medium,2015-04-29,2015-09-08,2015-04-30,E2,Desktop,Safari,True,COC1001,"We'd like to change the CTA icon placement, as requested by new leadership.",11.0,24,2,Neutral
7,IPC1001015,PC1001,Design issues,0,Medium,2014-10-23,2015-09-08,2014-10-25,E2,Desktop,Mozilla,True,COC1001,The headline alignment [358] is not accessible for users with visual impairments.,5.0,35,0,Negative
8,IPC1001016,PC1001,New item,0,Medium,2015-01-22,2015-09-08,2015-01-23,E3,Desktop,Edge,True,COC1001,"Please add a animated explainer about product flow, for improved feature discoverability.",8.0,41,2,Positive
9,IPC1001017,PC1001,Copy issues,0,Medium,2015-01-09,2015-09-08,2015-01-10,E1,Desktop,Mozilla,True,COC1001,Please optimize for SEO the feature highlights under 'Why Choose Us' — the current version feels too generic.,4.0,25,2,Negative
10,IPC1001018,PC1001,Copy issues,0,Medium,2015-01-17,2015-09-08,2015-01-19,E1,Desktop,Mozilla,True,COC1001,Please revise the CTA button label — consider phrasing that implies urgency.,3.0,35,2,Neutral
11,IPC1001019,PC1001,Copy issues,0,Medium,2014-11-05,2015-09-08,2014-11-08,E1,Mobile,Chrome,True,COC1001,Please revise the form confirmation message — the current version feels too generic.,3.0,42,1,Negative
