Issue ID,Request,labels
IPC100101,The spacing around section titles [645] should use more consistent iconography.,1
IPC1001010,Please rewrite for clarity the CTA button label — SEO team suggested including 'digital strategy'.,1
IPC10010100,"Please add a FAQs segmented by user type, to meet regulatory compliance.",1
IPC1001011,"Please add a customizable data visualization blocks, as part of SEO improvement strategy.",2
IPC1001012,Please emphasize benefits over features the Careers page intro — align this with what we say in the sales deck.,2
IPC1001013,Please emphasize benefits over features the Careers page intro — let's test a variation with a stronger call-to-action.,2
IPC1001014,"We'd like to change the CTA icon placement, as requested by new leadership.",1
IPC1001015,The headline alignment [358] is not accessible for users with visual impairments.,0
IPC1001016,"Please add a animated explainer about product flow, for improved feature discoverability.",2
IPC1001017,Please optimize for SEO the feature highlights under 'Why Choose Us' — the current version feels too generic.,0
IPC1001018,Please revise the CTA button label — consider phrasing that implies urgency.,1
IPC1001019,Please revise the form confirmation message — the current version feels too generic.,0
IPC100102,"We'd like to change the structure of the Resources section, to improve visual storytelling.",1
IPC1001020,"We'd like to change the icons used in the value proposition list, in preparation for launch event.",1
IPC1001021,"Please add a modular layout editor, to meet regulatory compliance.",1
IPC1001022,The button hierarchy [153] overemphasizes less important elements.,0
IPC1001023,Please rewrite for clarity the ‘Contact Us’ headline — the current version feels too generic.,0
IPC1001024,Please refocus the message in the CTA button label — the tone should feel more confident and less promotional.,1
IPC1001025,Please revise the Testimonials section intro — it currently duplicates info from another section.,0
IPC1001026,Please make more actionable the form confirmation message — current phrasing doesn't perform well in tests.,0
IPC1001027,Please replace jargon in the main navigation labels — consider phrasing that implies urgency.,1
IPC1001028,Please make more actionable the Testimonials section intro — it currently duplicates info from another section.,0
IPC1001029,"We'd like to change the sequence of steps in the signup flow, in light of the new campaign assets.",1
IPC100103,Please highlight user value in the newsletter signup copy — we're pivoting tone to be more conversational.,2
IPC1001030,Please enhance the engagement of the tagline in the hero section — the current version feels too generic.,0
IPC1001031,Please simplify the SEO meta description — SEO team suggested including 'digital strategy'.,1
IPC1001032,Please refocus the message in the homepage hero title — we want it to sound more personal and direct.,1
IPC1001033,Please remove buzzwords from the value proposition in the banner — SEO team suggested including 'digital strategy'.,1
IPC1001034,"We'd like to change the hover color of service cards, based on the latest wireframes.",1
IPC1001035,The image usage on About page [167] isn't engaging enough visually.,0
IPC1001036,Please refocus the message in the form confirmation message — current phrasing doesn't perform well in tests.,0
IPC1001037,We want to replace all hero images with animated GIFs. (ref 9912),1
IPC1001038,The accessibility of font choices [406] detracts from the core messaging.,0
IPC1001039,"We'd like to change the icons used in the value proposition list, even if it wasn't part of the original scope.",1
IPC100104,Please rewrite for clarity the tagline in the hero section — it currently duplicates info from another section.,1
IPC1001040,Please optimize for SEO the value proposition in the banner — it currently duplicates info from another section.,0
IPC1001041,The padding on Services section isn't engaging enough visually.,0
IPC1001042,"We'd like to change the visual arrangement of the contact form, based on updated performance data.",1
IPC1001043,The color usage in the footer [728] fails to build enough trust.,0
IPC1001044,Please enhance the engagement of the Services overview paragraph — we want it to sound more personal and direct.,2
IPC1001045,Can you preload every page in advance to reduce wait time? (ref 8209),1
IPC1001046,The logo size could benefit from a cleaner aesthetic.,2
IPC1001047,The button hierarchy feels generic and unmemorable.,0
IPC1001048,The visual hierarchy on homepage isn't engaging enough visually.,0
IPC1001049,"We'd like to change the support section layout, as it no longer matches our tone.",0
IPC100105,Please change wording in the CTA button label — align this with what we say in the sales deck.,1
IPC1001050,The structure of content in modals creates cognitive overload.,1
IPC1001051,Please revise the Services overview paragraph — let's test a variation with a stronger call-to-action.,1
IPC1001052,The design of the call-to-action strip doesn't clearly highlight key messages.,0
IPC1001053,The color palette makes the page feel too dense.,0
IPC1001054,"We'd like to change the title of the Careers section, due to a late change from our leadership team.",1
IPC1001055,"Please add a animated brand story carousel, for better mobile-first experience.",2
IPC1001056,The design of the lead capture form [280] fails to build enough trust.,0
IPC1001057,"We'd like to change the hover color of service cards, as it no longer matches our tone.",0
IPC1001058,"We'd like to change the visual arrangement of the contact form, in light of the new campaign assets.",1
IPC1001059,The style of secondary buttons [544] needs more breathing room.,1
IPC100106,Please enhance the engagement of the blog post summaries — the current version feels too generic.,0
IPC1001060,The color palette pushes the main CTA too far down the page.,0
IPC1001061,The contrast levels in the hero section [342] detracts from the core messaging.,0
